id,person_name,nine_box_category,feedback,adjusted,reviewed
386,Finley Harrison,"Category 5: 'Core Player' (Moderate performance, Moderate potential)",Finley is an average worker with nothing extraordinarily good or bad. He consistently makes decent quality work. He is open to learning but does not seek to improve himself proactively as much as I would like to. He works well with others and is almost always on time. Overall a solid worker with no faults but no stand out strengths either.,FALSE,FALSE
365,Joseph Cook,"Category 5: 'Core Player' (Moderate performance, Moderate potential)",Joseph Cook is a consistent performer. He always gets the basic job done even though he could do better. He does not take as much time as he should to be at a higher performance level. He has shown only moderate potential which is risky.,FALSE,TRUE
339,Tom Williams,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Tom Williams is a core member of this team, he is good at what he does and pays attention to details. i feel like he could do better in his performance though if given some time to work on it.",FALSE,FALSE
160,Joel Wells,"Category 2: 'Average performer' (Moderate performance, Low potential)","Joel is extremely competent in his technical capabilities and I can always rely on him to know the answer to any coding question a colleague might have. However, his grammar skills are somewhat lacking, which limits his ability to put all of his ideas in writing to clients. I've given him a number of opportunities to improve in this area and he still hasn't been able to do so. Thus I'm not sure that I'll be comfortable promoting him to a client-facing role any time soon.",FALSE,FALSE
554,Briley Mcknight,"Category 7: 'Potential Gem' (Low performance, High potential)","Briley Mcknight is one of the good co-worker in our office. Though he has a lots of potential, he doesn't implement on his work. If he improved himself better he is one of the finest worker in our office.",FALSE,FALSE
683,Frederick Rogers,"Category 9: 'Star' (High performance, High potential)",Frederick Rogers' energy was so great this season and I believe that he has a great drive in him that will make him an amazing candidate for your company. He was always trying to make sure that everyone in our department had an uplifting attitude. He definitely has what it takes to work through any challenges. Frederick is one of those ''work hard play hard'' kind of employees and will get whatever needs to be done that day done and then will go help out a co-worker to make sure that they are doing just as great as him.,FALSE,TRUE
370,Jade Mason,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Jade is a solid worker who always holds her own. While she does not excel in any field she consistently completes high quality work.
She is also a solid learner  and has the potential to improve her skills if given the opportunity.  She is a strong middle of the pack employee with the potential to improve further with experience.",FALSE,FALSE
294,Isaac Parry,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Isaac has demonstrated average performance this quarter. He was able to maintain an efficient workflow standard, and he was able to provide up-to-date and accurate analysis of data. Significant improvements, however, would be communication skills. He is encouraged to participate more actively in meetings and project discussions. His data analysis insights would definitely help his colleagues do their jobs better as well.",TRUE,TRUE
37,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",Kohen Norris has been for a lack of better words incompetent. I would like to say more positive things about him but he has not shown any potential in regards to his work. He often is late and smells poorly despite our company guidelines. I feel it is in our best interest to drop him from the company.,FALSE,TRUE
10151,Bethany Cunningham,"Category 5: 'Core Player' (Moderate performance, Moderate potential)",Bethany Cunningham has been perfecting her skill. As a team player her tasks have been completed with optimal skill. At the present time we are hoping to nurture her talent further. So far she has shown she has the continued resilience needed.,TRUE,TRUE
642,Graysen Sellers,"Category 9: 'Star' (High performance, High potential)","Graysen sellers is the best person in the whole team. he is the star performer .
And his performance and potential are too high . he always supports his team by giving his best .",FALSE,FALSE
38,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)","Kohen Norris has earned the risk rating for the current evaluation period.  This is the second consecutive evaluation in which Kohen has received a negative performance review.  During this time he has been given a detailed outline of what he needs to improve.  However, he has not made progress on any item, nor has he shown the desire to do so.  Finally, he continues to struggle on contributing to projects without significant help.  I believe he is headed toward termination if he does not improve in the next 2 months.",FALSE,TRUE
564,Joe White,"Category 8: 'High Potential' (Moderate performance, High potential)","Joe demonstrates stellar potential for the future. This quarter, he produced a report for me that needed some revisions, and his report went through multiple rounds of editing. However, I am confident that he has the ability to take my feedback and incorporate it into his future work product with much less guidance and assistance. Joe is ambitious and has the skills necessary to take his analysis skills to the next level.",TRUE,TRUE
408,Alex Watts,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Alex is a decent performer of his duties. His work has been solid all around. He has also shown some promise as far as learning skills outside of his job description. On the whole, he falls somewhere in the middle of the pack.",FALSE,FALSE
10018,Tom Houghton,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Frank has deteriorated his performance, he does not meet the required profile to be an exemplary student  of our colleague, he has very irregular notes in particular subjects",FALSE,FALSE
30,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Needs to apply himself at work. Too distracted and no indication that things will improve. 
Possible re-training needed. We need to see that Broderick can work well.",FALSE,TRUE
10073,Makenna Justice,"Category 7: 'Potential Gem' (Low performance, High potential)",Makenna Justice is a dark horse but has not yet proven herself. As a team member and doing tasks she has not shown full commitment yet. We are hoping with the right help she can achieve great work. We are looking to guide her further so she can improve.,FALSE,FALSE
675,Gavyn Acevedo,"Category 9: 'Star' (High performance, High potential)","Gavyn an absolutely employee. His work is always high quality and on time, he is very detail orientated, and is very thorough.  On top of that he proactively improves himself by learning from mistakes and internalizing feedback. He gets along with everyone and is constituently learning from others, and helping others in need.  Hands down one of the best people I have worked with.",FALSE,FALSE
10095,Peter Allen,"Category 3: 'Solid Performer' (High performance, Low potential)","Peter is a really hard working guy. When he joined the team, he was lacking in skills & attributes in many areas. However, he kept taking huge efforts to overcome his weak competencies & went on to become one of the core pillars of this project. It is hard to imagine this team without his contributions & would like him to step up further to lead it from the front in future.",FALSE,FALSE
120,Michael Kaur,"Category 2: 'Average performer' (Moderate performance, Low potential)","Michael completed all his assigned tasks on time. Michael does not strive to offer better solutions, only delivers the bare minimum to complete the job. Michael asks some questions but does not exhibit the drive to learn more. Michael does complete the task, but doesn't shine as an employee.",FALSE,FALSE
245,Edward Bates,"Category 3: 'Solid Performer' (High performance, Low potential)","Edward Bates is extremely committed as an employee, he is always the first to show up and the last to leave. He spends a lot of time on details often overlooked by other employees and is exceptionally dedicated. On the other hand, I find it difficult to imagine in which ways Edward could continue to grow as an employee. He is not the most creative coming up with new solutions to uncommon problems, and due to that lack of ingenuity, I struggle to ever see him as the star employee. Still, he is a solid reliable addition to any team.",FALSE,FALSE
112,Amaya Gay,"Category 2: 'Average performer' (Moderate performance, Low potential)","Amaya has been completing work as required, but really does not go above and beyond. She completes only what is asked, but does not proactively look for anything more than that. This could be improved by taking initiative in additional task in the workplace, but at present time the drive really is not there.",FALSE,FALSE
10044,Douglas Henry,"Category 1: 'Risk' (Low performance, Low potential)","Douglas has a lot to work on and areas to grow in at work. He lacks the drive to accomplish any task with sound quality. He comes to work with an apathetic attitude and applies that to his daily tasks. Due to his lack of initiative, we do not think he has much of a future with our company.",FALSE,FALSE
224,Nolan Jacobson,"Category 3: 'Solid Performer' (High performance, Low potential)","Nolan Jackson has been a solid performer for the company this quarter. His ability as a high performer on various tasks has been extremely beneficial and reflective of his diverse skill set. Nolan has shown a low potential for growth and development beyond the skills that he already possesses, however his strong contributions this quarter have been valuable to our company.",FALSE,FALSE
601,Deegan Dennis,"Category 8: 'High Potential' (Moderate performance, High potential)","Deegan is a great employee that delivers what is asked of him, mostly on time. He shows intelligence and could probably be promoted. Deegan is interested in the job and has motivation to go further. Deegan has some career goals within the company.",FALSE,FALSE
10155,Erin Harvey,"Category 7: 'Potential Gem' (Low performance, High potential)","Erin has proven that she has a love for what she does, but doesn't push herself. Her performance is low, but the work that she does turn in has so much potential. I want to see Erin thrive, and really push herself. I want to find what her roadblock is, and break through it. I want to see Erin really explore and utilize her potential within this company.",FALSE,FALSE
311,Caylee Donovan,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Caylee is so exacting in her work that she ends up turning in every assignment late. Moreover, she has such low self-confidence that she's constantly questioning whether her work is in a good enough state to turn in for my review. Her self-doubt has sabotaged her performance since it ends up causing her to make a host of mistakes, like spelling errors and typos. Though Caylee's performance has been subpar, I'm confident she'll be able to turn things around so she can become a team member we can actually come to rely upon. I've spoken with her and told her that I hired her for a reason, and need to see her prove that to me moving forward -- she understood the message and is committed to improving.",FALSE,FALSE
631,Jamari Roberts,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Jamari is a solid member of our team who's always willing to volunteer and help out colleagues who are struggling to meet their deadlines. Sometimes this jeopardizes his own work, however, when he's left scrambling to meet the deadlines his clients have set for him. I have spoken with Jamari about his time management skills and he's gotten much better about setting boundaries for himself. I anticipate that his work product will really improve now that he's juggling less on his plate.",TRUE,TRUE
60,George Gill,"Category 1: 'Risk' (Low performance, Low potential)","Mr Geroge Gill struggles to get the task done. He is constantly distracted chatting with his fellow workers. Also his work performance is poor due to his lack of devotion. He needs to learn to focus. If Mr. Gill keeps up, he won't progress far.",FALSE,FALSE
84,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Broderick is always such a wildcard to put in front of a client since he always seems to have something crass to say, even to some of our most respected clients. I'm not confident that he can ever grow up and become the professional that we're looking for him to be. I understand that he's only recently graduated from college but he has no interest in implementing any of the advice he's been given from our one-on-one meetings. Moreover, the work he turns in to me is consistently sloppy and riddled with errors.",FALSE,FALSE
367,Joseph Cook,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Joseph's work this quarter has been wholly acceptable. Whilst not excelling as highly as his contemporaries yet, Joseph is a consistent and reliable worker. With some guidance and assistance from his colleagues, I can see Joseph fulfilling a more important role within the workplace. Continued effort on his part to improve and take on criticism will only benefit his work.",FALSE,FALSE
287,Alfie Wright,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Alfie has demonstrated he is not a team player. His ability to analyze data was mediocre in effort, however, there is some room for improvement. Alfie could benefit from being more cooperative and willing to collaborate with others. If he puts forth an attempt to learn the tasks better and listen to his co-workers, to I believe he may improve in performance.",FALSE,FALSE
555,Briley Mcknight,"Category 8: 'High Potential' (Moderate performance, High potential)",Ability to outperform others. Eagerly accepts additional scope. Has the ability to overcome any challenges. Requires additional scope in daily performance.,TRUE,TRUE
457,Madison Hawkins,"Category 6: 'High Performer' (High performance, Moderate potential)",Madison is a very strong worker that consistently produces high-quality work. She is a wonderful person and works very well in all situations. She also responds well to feed back and has shown the desire to learn and improve herself. She has the potential to become even better as she gains more experience. Overall she is a very strong worker with the potential to improve even further with more  guidance.,FALSE,FALSE
20046,Cason Vargas,"Category 1: 'Risk' (Low performance, Low potential)",Carson Vargas is not showing he can complete tasks to a good level. His work has been of poor quality so far. We have seen that he is struggling to complete his work to a satisfactory level. With help he can hope to look to the future for better output.,FALSE,TRUE
10141,Lexi Rogers,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Lexi seems to like being here, but is putting in the bare minimum. I want to see Lexi really push herself to excel and show her true passions! Allowing Lexi to explore different work options within out company may allow her to thrive. However, if Lexi does not step up to the plate, we may need to consider other options.",FALSE,TRUE
119,Michael Kaur,"Category 2: 'Average performer' (Moderate performance, Low potential)",He is very intelligent for our sharing business markets.he is moderate performance of his business.Thank you.,FALSE,FALSE
604,Kayleigh Owen,"Category 8: 'High Potential' (Moderate performance, High potential)","Kayleigh is a great employee. There could be a bright future for Kayleigh here at our company. I would like to see more from this coworker as she moves forward in her career, and hope that she continues to improve her work and gets better at doing more. She could be really successful in this company if placed correctly.",FALSE,FALSE
81,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","I'm always nervous when assigning Mackenzie a report. When she's turned her drafts back to me I frequently find a lot of glaring typos and miscalculations that would be easy for her to catch if she did any proofreading. I find that I can't trust her to turn work into clients without assigning at least two other colleagues to review it first. This is a waste of resources and worse, she doesn't seem to really care about making any improvements. Thus I don't see her moving far in this organization.",FALSE,FALSE
474,Pedro David,"Category 6: 'High Performer' (High performance, Moderate potential)",Pedro David works hard. I once seen him work 12 hours a day just to finish a project. He is never late and always finish on time. He is very careful with his work and have good potential.,FALSE,FALSE
481,Natasha Richardson,"Category 6: 'High Performer' (High performance, Moderate potential)","Natasha Richardson was a peak producer this quarter.  In addition to logging over 600 billable hours, Natasha's business contacts and interpersonal skills led to us securing Amazon as a new client.   I do, however, believe there is a strong likelihood that Natasha aspires to an in-house counsel job at Amazon. Consequently, I am tepid about her future here.",FALSE,TRUE
378,Finlay Gardner,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Finlay has produced an average quality of work this quarter. He submits work on time, and his work meets the quality submitted by his colleagues. Finlay should seek to improve his communication skills, since he is often quiet at meetings. He is encouraged to talk more with his fellow colleagues, and discuss projects with others to improve them.",FALSE,FALSE
10055,Jessica Dixon,"Category 3: 'Solid Performer' (High performance, Low potential)","Jessica is efficient at accomplishing her tasks. Although she does not take much initiative, she is consistently helpful and willing to pitch in. She exceeds at collaborating with her peers. She sticks to timelines and deadlines well.",FALSE,FALSE
644,Madison Cleveland,"Category 9: 'Star' (High performance, High potential)",Madison's work is of the highest quality. He consistently turns in work on time. Madison should seek more challenging projects to gain more exposure and experience in the organization. He has the ability to succeed at a higher level.,FALSE,FALSE
575,Yahir Harvey,"Category 8: 'High Potential' (Moderate performance, High potential)",Yahir shows good potential in his job performance. I believe that he can move up in this company if he continues to improve. Yahir is polite and respectful to his co workers. Yahir is a great addition to this team.,FALSE,FALSE
639,Theodor Peters,"Category 9: 'Star' (High performance, High potential)","Theodor has consistently been a very promising performer all through his tenure. People always look up to him for inspiration and motivation. He is always full of energy and enthusiasm to work to the best of his capabilities and at the same time make it possible for the team to excel as a whole. He's the star performer of the team through and through, giving his all for the growth of the team.",FALSE,FALSE
10165,Margaret Gallagher,"Category 9: 'Star' (High performance, High potential)","There are very few areas that Margaret needs to improve in. She was quick with filing all reports, along with putting in time and effort for all her work. She went above and beyond this quarter for the company. With more time that passes she will continue to highten her potential.",FALSE,TRUE
45,Wade Stanley,"Category 1: 'Risk' (Low performance, Low potential)",I would never work with Wade again. He was a hazard to our team and should not be employed again. No room for growth as he has no desire to grow. I would hate to be on a team with him again,FALSE,FALSE
10084,Layla Scott,"Category 1: 'Risk' (Low performance, Low potential)","I feel like Layla may have overpromised during her interview. She is often found on extended breaks, or on her phone, with little drive or interest to accomplish the job. She often barely squeaks by with minimal accomplishment. Maybe she should consider something else more appropriate",FALSE,FALSE
27,Mackenzie Jennings,"Category 1: 'Risk' (Low performance, Low potential)","Mackenzie jennings works in category 1.
As she was in category 1, there is a risk in loosing work in two criterias.
One is due to her low performance.
The other one is due to low potential in contribution of work",FALSE,TRUE
686,Graysen Sellers,"Category 9: 'Star' (High performance, High potential)","Graysen excels at completing tasks. He consistently performs his duties to the best of his abilities. Other coworkers look to him as a leader, and he is always willing to train or assist his coworkers. Graysen is dependable and reliable. He welcomes feedback and regularly strives to improve himself.",FALSE,FALSE
152,Amy John,"Category 2: 'Average performer' (Moderate performance, Low potential)","Amy is always punctual about turning in her assignments on time. She does a reasonably good job with every research request I make of her but sometimes she leaves some counterarguments on the table when drafting her reports. Moving forward I have told her that she needs to plug in every possible hole in her research by considering multiple perspectives for her reports. She's struggled to incorporate this feedback, to date, so I question whether she will really be able to improve much.",FALSE,FALSE
255,Matthew Reid,"Category 3: 'Solid Performer' (High performance, Low potential)","Mr. Reid has been with the company for the last two years.  His work is consistent and he puts his full effort into his work.  He follows instructions well, but his abilities seem limited to his current experience level.  Other workers hired at the same time have shown more growth within the field.",FALSE,FALSE
10154,Erin Harvey,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Erin Harvey has had difficulty getting settled into her position but her immediate superior has said that she has produced a few pieces of good work that show she could do well as time goes on. Erin arrives on time every day but can often be seen wandering the office chatting to others. It is felt that the manager of her department should have a good face to face chat with her about how things have been going. In this discussion, her inability to focus well should be addressed but she should be praised on her good work.",TRUE,TRUE
597,Bryleigh Stafford,"Category 8: 'High Potential' (Moderate performance, High potential)",Bryleigh went above an beyond to meet her goals. She has endless potential. The performance that she did was nothing short of incredible. Very happy to have her,TRUE,TRUE
10049,Shannon Harvey,"Category 2: 'Average performer' (Moderate performance, Low potential)","Shannon Harvey is an average performer (category 2). She does not take initiative and needs frequent guidance. She is not punctual, but does work long hours. Reccomend for more training. If she does not improve, may need to terminate.",FALSE,FALSE
515,Jaxson Giles,"Category 5: 'Core Player' (Moderate performance, Moderate potential)","Jaxson Giles works very hard to understand the tasks set before him. He takes a little longer to learn those skills, but when he learns them, he does them well. He needs to work on time management to give himself time to check over his work. He seems eager to please and works well with the team.",TRUE,TRUE
585,Chanel Cleveland,"Category 8: 'High Potential' (Moderate performance, High potential)",Chanel currently is a solid employee but she has the potential to become amazing. Right now her work is solid and is consistently acceptable. However she is a very proactive learner and constantly seeks to improve herself. She is very open to feedback from others and is always learning. She is solid employee right now but will grow and improve to be amazing with time.,FALSE,FALSE
280,Sophie Murray,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Sophie is a new analyst and her prior work experience does not correlate with her job duties at all. Thus she oftentimes makes mistakes in her data analysis and reports numbers and formulas incorrectly in her reports. This has been frustrating for her teammates to correct all the time. However, I am sure that Sophie will become a much stronger team member once she nails the quantitative skills needed for the job, which she should be able to grasp fully within the next six months.",FALSE,FALSE
83,Broderick Hays,"Category 1: 'Risk' (Low performance, Low potential)","Broderick's work this project was not usable by the company due to its low quality. Unfortunately, this is not out of the ordinary for Broderick. His work is usually not of high quality, and therefore this project was more to keep him busy and test his performance and potential than to actually use it. I do not think Broderick has proved his worth on this team, although he has certainly been here long enough to do so.",FALSE,FALSE
388,Finley Harrison,"Category 2: 'Average performer' (Moderate performance, Low potential)",Finely Harrison has shown his abilities to get on the ball and get his hands dirty but lacks will power and sometimes is not willing to go the extra mile for the company. He shows up to work everyday in a timely manner but sometimes seems to lack enthusiasm. He is excellent at what he does but doesnÃ¢â‚¬â„¢t show too much interest in advancement in the company. We hope to see more positive growth in his future.,TRUE,TRUE
523,Zachary Doyle,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)",Zachary's performance was not up to the mark in last quarter. However given one more chance he should be able to perform better considering he had done well in first quarter.  He needs to take few assignments at a time and delegate some to his assistant instead of working himself on all together. He can be more productive and efficient if he prioritize his work.  He needs to be more confident.,TRUE,TRUE
252,Freya Price,"Category 3: 'Solid Performer' (High performance, Low potential)","Freya is great when it comes to working hard in her current role. However, it's very difficult teaching her new tasks or relying on her to work 100% independently. As a result, I can't see much indication that Freya would be able to handle the pressures and responsibilities of any jobs further up the ladder. But for what she is doing now, she is doing great and works very hard.",FALSE,FALSE
10038,Moises Houston,"Category 9: 'Star' (High performance, High potential)","Hey Moises Houston! Keep up the fantastic work! Steadily, you have managed to gain quite the opportunity to do amazing and wonderful things in the future. You are also in quite the special and unique spot for any individual to be in. I recommend you keep on working at it to become an even better performer since you're already excelling quite a bit. You'll be going sky high in no time. For you, the sky definitely isn't the limit.",TRUE,TRUE
305,Sofia Doyle,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)","Sofia Doyle struggles with her current workload. She is making progress, and seems to want to do well. She is amiable with her team. She works diligently toward any goal set before her.",FALSE,FALSE
36,Kohen Norris,"Category 1: 'Risk' (Low performance, Low potential)",Kohen is terrible. Would never use them on a team again. Nothing they did was right and it hurt our team. The room for improvement and the desire to improve is not there,FALSE,TRUE
322,Sophie Murray,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)",Sophie is an interesting worker. She is generally a poor performer as her work is usually below standard and she has a habit of being late. However she has shown some potential to improve. She responds to feedback and tries to improve her self sometimes. Currently she does not perform well but she might be able to improve herself with experience and guidance.,FALSE,FALSE
176,Sonny Kidd,"Category 2: 'Average performer' (Moderate performance, Low potential)","Sonny Kidd is one of the most average colleagues I have had. This is not always a bad thing because he is consistent. He completes his work on time with decent results. However, he is a little older and has little drive left in him, thus he is unable to be pushed to reach higher goals.",FALSE,FALSE
537,Brantley Whitfield,"Category 7: 'Potential Gem' (Low performance, High potential)","Brantley has been with the firm for a year. He has proved himself to be intelligent, quick-learning, highly responsive. He is a great communicator. 

Though due family issues, Brantley has not given his 100%. He has been lagging in delivering his work. He has been absent in meetings and occasional for work. Recommend that we allow him time to sort out his family issues and come back to contribute to the firm fully",FALSE,TRUE
221,Nolan Jacobson,"Category 3: 'Solid Performer' (High performance, Low potential)","Nolan Jacobson has kept production levels consistent.  Nolan can be counted on to complete his work and goes beyond to provide more than is expected.  He has high efficency and smashes his goals.  Nolan's output is amazing, I believe he is an asset to our company.",FALSE,FALSE
497,Kallie Beard,"Category 8: 'High Potential' (Moderate performance, High potential)","Kallie has been with the company for a year now. While her execution of some of her tasks has been hit or miss, she does show a lot of promise. She has been willing to work late and come in early to learn various aspects she needs help on. She should make solid improvement with her job execution over the next year given her work ethic and drive.",TRUE,TRUE
10181,Camille Hahn,"Category 4: 'Inconsistent Player' (Low performance, Moderate potential)",Camille Hahn performance shows a lot of inconsistency. She didn't perform well on the given tasks and goals. There were times that she had a stellar performance. We believ that she has potential to do better in the future.,FALSE,FALSE
